Vial_ID,Cruise,Vessel,Haul,Sex,CW ,CH_CC,Crab_Wgt ,Hepato_WWT,Hepato_DWT
2019-26,201901,94,158,1,80.78,11.47,185.8,1.3577,0.1022
2019-3,201902,162,1,1,75.87,11.99,151.8,0.7067,0.1746
2019-4,201902,162,1,1,78.97,12.31,189.2,0.7634,0.1697
2019-41,201902,94,1,1,75.41,11.19,175,0.8136,0.2258
2019-42,201901,94,187,1,84.84,12.83,226.6,0.955,0.2365
2019-43,201901,94,158,1,85.51,14.19,252.1,1.1595,0.1066
2019-44,201901,94,158,1,80.65,13.34,203.7,0.9043,0.0744
2019-45,201901,94,158,1,82.32,13.17,203.1,0.8229,0.0603
2019-46,201901,94,158,1,89.55,14.24,234.2,1.1409,0.0846
2019-47,201901,94,155,1,82.08,11.86,208.5,1.6886,0.164
2019-5,201902,162,1,1,78.61,12.83,175.1,1.0278,0.2458
2019-6,201901,162,193,1,80.11,13.21,NA,0.9814,0.2139
2019-63,201901,94,158,1,83.08,12.47,215.5,2.1214,0.1237
2019-64,201902,162,1,1,88.23,15.43,247.8,0.9601,0.2007
2019-7,201901,162,193,1,83.34,13.34,NA,1.0267,0.2866
2019-70,201901,162,180,1,65.21,NA,82.6,0.9008,0.145
2019-8,201901,162,193,1,78.86,13.02,190.5,1.0815,0.2794
2019-9,201901,162,193,1,87.42,14.75,NA,1.1223,0.2368
2019-100,201902,162,42,2,46.14,0,33.1,0.6616,0.0956
2019-101,201902,162,42,2,41.34,0,25.3,0.6655,0.0968
2019-102,201902,162,42,2,42.58,0,22.8,0.4508,0.0974
2019-103,201902,162,42,2,57.94,0,65,1.3231,0.2877
2019-104,201902,162,42,2,48.8,0,35.1,0.9236,0.2553
2019-105,201902,162,42,2,55.67,0,69.2,0.5605,0.0885
2019-106,201902,162,42,2,50.81,0,46.4,0.7676,0.1425
2019-107,201902,162,42,2,51.14,0,53.1,0.4744,0.1335
2019-108,201902,162,42,2,51.55,0,49.4,0.527,0.0743
2019-109,201902,162,42,2,49.67,0,46,1.0054,0.1958
2019-110,201902,162,42,2,54.7,0,65.7,1.5483,0.2247
2019-111,201902,162,42,2,51.82,0,49.8,0.5115,0.1097
2019-112,201902,162,42,2,51.02,0,48.6,0.4361,0.1171
2019-113,201902,162,19,2,54.18,0,59.1,0.5302,0.2137
2019-114,201902,162,19,2,64.06,0,115.6,0.5842,0.1498
2019-115,201902,162,19,2,67.22,0,112.9,1.2918,0.3646
2019-116,201902,162,19,2,65.6,0,112.3,0.9736,0.2892
2019-117,201902,162,19,2,62.09,0,102.5,1.0122,0.2453
2019-118,201902,162,19,2,53.56,0,63.3,0.8905,0.2577
2019-119,201902,162,19,2,56.68,0,73.6,1.3093,0.4049
2019-12,201901,162,177,2,54.64,0,52.4,0.7629,0.1961
2019-120,201902,162,49,2,59.58,0,82.8,0.7027,0.2106
2019-121,201902,162,49,2,53.26,0,55.2,0.9669,0.3269
2019-122,201902,162,49,2,53.51,0,56.8,1.0115,0.2582
2019-123,201902,162,49,2,56.51,0,63,0.9762,0.2639
2019-124,201902,162,49,2,56.63,0,67.8,0.8546,0.2349
2019-125,201902,162,49,2,59.99,0,73.9,0.9546,0.2613
2019-126,201902,162,49,2,55.59,0,61.4,0.835,0.1522
2019-127,201902,162,18,2,50.97,0,56.1,0.4873,0.1529
2019-128,201902,162,18,2,51.1,0,46.4,0.8719,0.2534
2019-129,201902,162,18,2,60.58,0,90.2,0.8614,0.215
2019-130,201902,162,33,2,54.18,0,67,0.3993,0.1535
2019-131,201902,162,33,2,55.15,0,58.4,0.7923,0.3371
2019-132,201902,162,33,2,49.98,0,44.2,0.7262,0.3108
2019-133,201902,162,2,2,57.21,0,63.6,0.7668,0.1829
2019-134,201902,162,2,2,55.51,0,57,0.8562,0.213
2019-135,201902,162,2,2,56.16,0,58,0.7661,0.1977
2019-136,201902,162,2,2,58.07,0,65.7,0.7012,0.2449
2019-137,201902,162,2,2,59.29,0,64.9,1.0347,0.2058
2019-138,201902,162,2,2,55.81,0,54.9,0.6845,0.174
2019-139,201902,162,2,2,60.71,0,74.4,0.5842,0.1451
2019-140,201902,162,2,2,57.33,0,60.5,0.9285,0.3194
2019-141,201902,162,2,2,55.78,0,52.8,0.5308,0.171
2019-142,201902,162,2,2,60.03,0,74.2,0.7351,0.2402
2019-143,201902,162,2,2,57.71,0,61.4,0.9754,0.2233
2019-144,201902,162,2,2,57.9,0,59.9,0.7927,0.2082
2019-145,201902,162,2,2,59.34,0,57,1.0696,0.2555
2019-146,201902,162,2,2,56.35,0,53.9,0.7523,0.2223
2019-150,201902,162,46,2,54.37,0,52.6,0.5085,0.208
2019-152,201902,162,46,2,50.24,0,42.9,0.575,0.1759
2019-153,201902,162,46,2,57.46,0,59.3,0.6889,0.1607
2019-155,201902,162,46,2,57.26,0,63.2,0.6496,0.1839
2019-156,201902,162,46,2,54.65,0,52.7,0.7356,0.1844
2019-157,201902,162,46,2,51.17,0,47.2,0.6304,0.148
2019-17,201901,162,177,2,53.46,0,50.8,1.0287,0.2504
2019-171,201901,94,126,2,52.34,0,47.6,0.8538,0.2245
2019-172,201901,94,126,2,54.38,0,47.4,0.5434,0.1878
2019-173,201901,94,126,2,57.96,0,61.9,1.0046,0.2697
2019-174,201901,94,126,2,54.51,0,50.7,0.6936,0.2372
2019-180,201902,162,20,2,56.27,0,55.1,0.6082,0.1836
2019-181,201902,162,20,2,49.02,0,41.7,0.7711,0.2397
2019-182,201902,162,20,2,49.5,0,41.8,0.5153,0.1877
2019-183,201902,162,20,2,55.49,0,55,0.6205,0.2012
2019-184,201902,162,20,2,57.94,0,69.9,0.8346,0.2963
2019-185,201901,162,163,2,50.19,0,38.4,0.5894,0.0607
2019-186,201902,162,1,2,58.03,0,49.2,0.8277,0.1922
2019-27,201901,94,168,2,50.89,0,41.4,0.7042,0.2149
2019-28,201901,94,166,2,53.78,0,45.7,0.9808,0.2337
2019-29,201901,94,168,2,54.56,0,48.7,0.6917,0.2422
2019-30,201901,94,171,2,64,0,84.3,0.6515,0.1625
2019-31,201901,94,167,2,51.87,0,43.8,0.6212,0.1369
2019-32,201901,94,171,2,52.59,0,47.7,0.6538,0.1213
2019-33,201901,94,166,2,53.3,0,47.2,0.752,0.1208
2019-34,201901,94,166,2,50.14,0,42.1,0.5384,0.0816
2019-35,201901,94,167,2,53.3,0,49.4,0.5104,0.0869
2019-36,201901,94,167,2,50.64,0,42.2,0.8331,0.0858
2019-37,201901,94,167,2,50.51,0,41.4,0.5345,0.0917
2019-38,201901,94,168,2,54.81,0,53.1,0.8248,0.2438
2019-39,201901,94,168,2,52.41,0,46.9,1.1113,0.1653
2019-40,201901,94,168,2,50.19,0,43.6,0.7065,0.1169
2019-48,201902,94,1,2,47.83,0,37.5,0.5121,0.1211
2019-49,201902,94,1,2,51.55,0,47.7,0.5915,0.1787
2019-50,201902,94,1,2,51.45,0,43,0.6835,0.1733
2019-51,201902,94,1,2,49.08,0,39.6,0.4733,0.1323
2019-52,201902,94,1,2,48.59,0,38.4,0.5756,0.1024
2019-53,201902,94,1,2,43.24,0,28,0.6297,0.2076
2019-54,201902,94,1,2,49.9,0,39.3,0.5319,0.1521
2019-55,201902,94,1,2,48.16,0,38.9,0.5616,0.2141
2019-56,201902,94,1,2,50.22,0,40.1,0.6405,0.13
2019-57,201902,94,1,2,52.24,0,44.8,0.5479,0.1462
2019-58,201902,94,1,2,42.88,0,24.8,0.5981,0.1333
2019-59,201902,94,1,2,51.3,0,45.1,0.5809,0.1474
2019-60,201902,94,1,2,56.04,0,56.1,0.784,0.2323
2019-61,201902,94,1,2,51.76,0,44.5,0.5409,0.1504
2019-62,201902,162,1,2,53.71,0,47.3,0.5562,0.1544
2019-65,201901,162,178,2,74.64,0,135.1,0.9321,0.3187
2019-66,201901,162,178,2,78.67,0,145.7,0.9085,0.1495
2019-67,201901,162,178,2,78.89,0,141.2,1.6331,0.3145
2019-68,201901,162,178,2,75.07,0,127.1,0.7911,0.2033
2019-69,201902,162,1,2,53.76,0,49.4,0.8057,0.2021
2019-71,201901,162,180,2,72.8,0,114.7,0.8023,0.243
2019-72,201902,162,1,2,56.01,0,55.1,0.656,0.1419
2019-73,201902,162,1,2,54.33,0,49.3,0.5676,0.1383
2019-74,201902,162,1,2,57.59,0,51.8,0.6704,0.202
2019-75,201902,162,17,2,44.07,0,30.5,0.5572,0.1546
2019-76,201902,162,17,2,43.64,0,26.2,0.5437,0.1287
2019-77,201902,162,17,2,43.2,0,24,0.641,0.1609
2019-78,201902,162,19,2,57.31,0,63.6,0.7926,0.2051
2019-79,201902,162,19,2,47.46,0,36.8,0.5494,0.1936
2019-80,201902,162,19,2,57.93,0,67.8,0.5286,0.197
2019-81,201902,162,19,2,46.03,0,33.6,0.4592,0.0888
2019-82,201902,162,19,2,44.15,0,27.6,0.4421,0.191
2019-83,201902,162,19,2,48.28,0,37.1,0.6682,0.1779
2019-84,201902,162,19,2,40.82,0,22.9,0.8721,0.133
2019-85,201902,162,19,2,45.46,0,31.1,0.6836,0.1618
2019-86,201902,162,19,2,38.37,0,21.9,0.4464,0.0949
2019-87,201902,162,19,2,47.75,0,35.3,0.7684,0.2007
2019-88,201902,162,19,2,45.15,0,30.1,0.7718,0.2152
2019-89,201902,162,19,2,41.52,0,23.8,0.4827,0.1461
2019-90,201902,162,42,2,44.92,0,29.4,0.6171,0.1303
2019-91,201902,162,42,2,39.11,0,20.7,0.5651,0.1339
2019-92,201902,162,42,2,46.98,0,33.7,0.6216,0.0749
2019-93,201902,162,42,2,48.55,0,37.6,0.9526,0.1584
2019-94,201902,162,42,2,45.03,0,27.8,1.1962,0.1239
2019-95,201902,162,42,2,43.22,0,30.4,0.6477,0.0773
2019-96,201902,162,42,2,50.09,0,40.6,0.6292,0.1023
2019-97,201901,162,163,2,54.86,0,NA,0.893,0.0795
2019-98,201902,162,42,2,41.65,0,25,0.9324,0.2098
2019-99,201902,162,42,2,48.34,0,37.2,0.819,0.1211
2021-AKK-1,202101,162,100,1,96.68,18.45,357,0.2963,0.1243
2021-AKK-2,202101,162,106,1,89.77,15.22,277,0.2596,0.0832
2021-AKK-3,202101,162,110,1,102.55,17.95,354,0.3604,0.0951
2021-AKK-4,202101,162,112,1,92.16,17.05,320,0.3442,0.0804
2021-AKK-6,202101,162,124,1,95.03,18.2,340,0.3624,0.1254
2021-AKK-5,202101,162,112,1,95.73,16.75,324,0.3883,0.1069
2021-AKK-7,202101,162,125,1,88.87,15.44,280,0.2446,0.0657
2021-AKK-8,202101,162,137,1,76.87,13.44,140,0.327,0.0929
2021-AKK-9,202101,162,140,1,77.04,12.91,164,0.3781,0.0959
2021-AKK-10,202101,162,142,1,77.29,12.8,184,0.2535,0.0505
2021-AKK-11,202101,162,142,1,81.18,14.07,211,0.3258,0.1226
2021-AKK-12,202101,162,142,1,85.75,16.97,255,0.3044,0.0674
2021-AKK-13,202101,162,141,1,78.89,13.77,194,0.3279,0.0762
2021-AKK-14,202101,162,140,1,84.14,14.66,206,0.2316,0.0637
2021-AKK-15,202101,162,143,1,76.53,13.8,155,0.3281,0.0973
2021-AKK-16,202101,162,143,1,83.03,15.52,219,0.394,0.1938
2021-AKK-17,202101,162,143,1,79.92,12.58,157,0.2889,0.1063
2021-AKK-18,202101,162,153,1,94.51,17.76,345,0.3927,0.1212
2021-AKK-19,202101,162,179,1,72.57,10.3,115,0.2914,0.1232
2021-AKK-20,202101,162,184,1,90.8,17.6,284,0.3518,0.1537
2021-AKK-21,202101,162,184,1,97.26,20.1,342,0.3249,0.1458
2021-AKK-22,202101,162,184,1,100.07,19.62,401,0.369,0.1843
2021-AKK-23,202101,162,185,1,92.37,18.93,317,0.3225,0.1263
2021-AKK-24,202101,162,185,1,86.61,16.12,262,0.4002,0.1918
2021-AKK-25,202101,162,185,1,88.56,18.78,272,0.3574,0.145
2021-AKK-26,202102,162,2,2,57.41,0,58,0.3025,0.0956
2021-AKK-27,202102,162,2,2,57.59,0,60,0.2567,0.0658
2021-AKK-28,202102,162,2,2,55.27,0,56,0.3627,0.131
2021-AKK-29,202102,162,4,2,53.86,0,47,0.2226,0.0686
2021-AKK-30,202102,162,4,2,55.57,0,51,0.9023,0.3067
2021-AKK-31,202102,162,4,2,52.81,0,48,0.2256,0.0786
2021-AKK-32,202102,162,12,1,58,10.42,63,0.3566,0.1278
2021-AKK-33,202102,162,12,1,49.62,6.94,30,0.3823,0.1293
2021-AKK-34,202102,162,12,2,42.14,0,10,0.3769,0.1253
2021-AKK-35,202102,162,12,2,53.59,0,37,0.3109,0.1082
2021-AKK-36,202102,162,12,1,55.28,8.89,39,0.3526,0.0874
2021-AKK-37,202102,162,12,1,52.75,8.33,34,0.3769,0.1185
2021-AKK-38,202102,162,12,2,49.43,0,26,0.3496,0.1145
2021-AKK-39,202102,162,12,2,50.28,0,22,0.265,0.0713
2021-AKK-40,202102,162,12,2,51.45,0,25,0.3566,0.1275
2021-AKK-41,202102,162,13,1,63.74,10.75,98,0.3087,0.103
2021-AKK-42,202102,162,13,2,56.99,0,47,0.3463,0.1172
2021-AKK-43,202102,162,13,1,51.12,8.22,54,0.3475,0.1168
2021-AKK-44,202102,162,13,2,46.88,0,38,0.3126,0.1247
2021-AKK-45,202102,162,13,1,51.48,8.55,53,0.3592,0.1125
2021-AKK-46,202102,162,13,2,44.63,0,30,0.2393,0.0828
2021-AKK-47,202102,162,13,1,51.83,8.9,51,0.3342,0.1126
2021-AKK-48,202102,162,13,2,44.64,0,32,0.3214,0.123
2021-AKK-49,202102,162,14,2,53.16,0,50,0.392,0.1547
2021-AKK-50,202102,162,14,1,53.18,8.12,54,0.3827,0.1386
2021-AKK-51,202102,162,14,2,46.82,0,34,0.2196,0.0785
2021-AKK-52,202102,162,14,1,51.07,7.22,49,0.3187,0.0945
2021-AKK-53,202102,162,15,2,51.47,0,40,0.2394,0.0737
2021-AKK-54,202102,162,14,2,45.67,0,31,0.3183,0.1455
2021-AKK-55,202102,162,14,1,54.6,8.98,61,0.443,0.1561
2021-AKK-56,202102,162,14,2,51.14,0,43,0.3578,0.1183
2021-AKK-57,202102,162,14,1,54.3,7.24,53,0.3228,0.1171
2021-AKK-58,202102,162,14,2,50.24,0,41,0.373,0.1281
2021-AKK-59,202102,162,14,2,46.48,0,32,0.2553,0.0836
2021-AKK-60,202102,162,14,2,50.42,0,40,0.2448,0.1039
2021-AKK-61,202102,162,15,2,47.37,0,35,0.3599,0.1492
2021-AKK-62,202102,162,15,2,44.46,0,29,0.23,0.0976
2021-AKK-63,202102,162,15,1,51.53,8.53,51,0.3401,0.107
2021-AKK-64,202102,162,15,1,50.74,7.63,45,0.4201,0.137
2021-AKK-65,202102,162,15,2,44.15,0,28,0.3747,0.1638
2021-AKK-66,202102,162,15,1,52.62,8.32,52,0.3427,0.1085
2021-AKK-67,202102,162,15,2,46.18,0,33,0.3373,0.1152
2021-AKK-68,202102,162,15,2,41.08,0,41,0.3638,0.1142
2021-AKK-69,202102,162,15,2,46.23,0,32,0.3318,0.1001
2021-AKK-70,202102,162,15,2,45.43,0,33,0.3204,0.0592
2021-AKK-71,202102,162,18,2,48.39,0,37,0.355,0.1012
2021-AKK-72,202102,162,18,1,55.12,9.36,55,0.4163,0.1216
2021-AKK-73,202102,162,18,2,47.03,0,30,0.3355,0.0761
2021-AKK-74,202102,162,18,1,52.13,8.83,41,0.3088,0.0585
2021-AKK-75,202102,162,18,2,47.44,0,36,0.344,0.0955
2021-AKK-76,202102,162,18,2,53.99,0,53,0.3618,0.0993
2021-AKK-77,202102,162,18,2,48.05,0,35,0.3084,0.0932
2021-AKK-78,202102,162,18,2,48.75,0,39,0.3387,0.0659
2021-AKK-79,202102,162,18,2,45.06,0,32,0.3258,0.094
2021-AKK-80,202102,162,22,2,51.59,0,31,0.3244,0.07
2021-AKK-81,202102,162,22,1,53.09,8.19,54,0.2944,0.0708
2021-AKK-82,202102,162,22,1,50.56,9.29,43,0.3643,0.0604
2021-AKK-83,202102,162,22,1,50.93,9.04,52,0.226,0.0543
2021-AKK-84,202102,162,22,2,46.61,0,33,0.3336,0.0714
2021-AKK-85,202102,162,22,2,50.49,0,47,0.3603,0.0803
2021-AKK-86,202102,162,22,2,51.61,0,48,0.3494,0.0816
2021-AKK-87,202102,162,22,2,46.69,0,32,0.3487,0.0966
2021-AKK-88,202102,162,22,2,50.18,0,39,0.3613,0.0767
2021-AKK-89,202102,162,26,2,56.93,0,58,0.3604,0.1046
2021-AKK-90,202102,162,26,2,55.87,0,59,0.3562,0.0848
2021-AKK-91,202102,162,26,1,57.44,9.54,66,0.2361,0.0574
2021-AKK-92,202102,162,26,1,51.94,8.39,49,0.2976,0.0553
2021-AKK-93,202102,162,26,2,50.36,0,44,0.3732,0.0952
2021-AKK-94,202102,162,26,2,49.83,0,40,0.3409,0.0889
2021-AKK-95,202102,162,26,2,46.86,0,35,0.233,0.0547
2021-AKK-96,202102,162,26,2,44.55,0,34,0.3382,0.0829
2021-AKK-97,202102,162,27,2,49.06,0,37,0.3847,0.0976
2021-AKK-98,202102,162,27,2,54.3,0,47,0.2346,0.0452
2021-AKK-99,202102,162,27,2,55.07,0,51,0.2924,0.0767
2021-AKK-100,202102,162,27,2,53.1,0,48,0.3712,0.1203
2021-AKK-101,202102,162,27,1,53.24,9.65,58,0.5619,0.1521
2021-AKK-102,202102,162,27,2,46.72,0,32,0.3315,0.0969
2021-AKK-103,202102,162,27,2,48.77,0,40,0.1609,0.0404
2021-AKK-104,202102,162,27,2,51.27,0,44,0.2609,0.0671
2021-AKK-105,202102,162,27,2,43.52,0,29,0.3464,0.0917
2021-AKK-106,202102,162,28,1,51.34,7.33,50,0.2701,0.115
2021-AKK-107,202102,162,28,1,52.68,7.68,44,0.4736,0.188
2021-AKK-108,202102,162,28,2,49.91,0,42,0.2863,0.0975
2021-AKK-109,202102,162,28,2,46.67,0,33,0.16,0.0618
2021-AKK-110,202102,162,28,2,47.34,0,35,0.6405,0.2364
2021-AKK-111,202102,162,28,2,52.97,0,45,0.253,0.0992
2021-AKK-112,202102,162,28,2,46.29,0,28,0.3211,0.1394
2021-AKK-113,202102,162,28,2,46.96,0,34,0.3114,0.0665
2021-AKK-114,202102,162,28,2,48.03,0,37,0.4163,0.1486
2021-AKK-115,202102,162,29,2,54.73,0,48,0.2261,0.0762
2021-AKK-116,202102,162,29,2,57.04,0,55,0.4027,0.1352
2021-AKK-117,202102,162,29,2,53.57,0,44,0.4747,0.1841
2021-AKK-118,202102,162,29,1,59.35,9.82,70,0.5296,0.1738
2021-AKK-119,202102,162,29,1,50.79,7.9,49,0.28,0.1029
2021-AKK-120,202102,162,29,2,60.6,0,68,0.3998,0.1318
2021-AKK-121,202102,162,29,2,57.34,0,55,0.4469,0.1443
2021-AKK-122,202102,162,29,2,53.65,0,49,0.2388,0.0883
2021-AKK-123,202102,162,29,2,50.47,0,41,0.1991,0.061
2021-AKK-124,202102,162,29,2,50.42,0,40,0.2381,0.0721
2021-AKK-125,202102,162,29,2,49.69,0,37,0.4972,0.1734
2021-AKK-126,202102,162,29,2,51.79,0,44,0.2087,0.0612
2021-AKK-127,202102,162,29,2,46.09,0,31,0.246,0.0723
2021-AKK-128,202102,162,33,2,51.19,0,49,0.3188,0.1182
2021-AKK-129,202102,162,33,1,58.62,9.91,73,0.2416,0.0764
2021-AKK-130,202102,162,33,1,58.55,9.64,76,0.3156,0.1095
2021-AKK-131,202102,162,33,1,52.75,8.6,60,0.4841,0.1505
2021-AKK-132,202102,162,33,1,55.79,9.49,67,0.2719,0.0916
2021-AKK-133,202102,162,33,1,58.73,9.44,74,0.3365,0.1006
2021-AKK-134,202102,162,33,1,56.56,8.92,69,0.3518,0.1115
2021-AKK-135,202102,162,33,1,55.95,9.39,68,0.1495,0.0462
2021-AKK-136,202102,162,33,1,58.66,8.39,74,0.3854,0.1387
2021-AKK-137,202102,162,33,1,67.03,11.6,116,0.3206,0.1087
2021-AKK-138,202102,162,33,2,54.26,0,54,0.3016,0.1023
2021-AKK-139,202102,162,33,2,54.08,0,56,0.1026,0.0323
2021-AKK-140,202102,162,33,2,51.93,0,44,0.1648,0.0547
2021-VA-1,202101,94,104,1,73.57,14.42,164,0.313,0.0736
2021-VA-2,202101,94,104,1,80.83,16.55,200,0.3421,0.0835
2021-VA-3,202101,94,105,1,84.45,13.96,212,0.3592,0.0853
2021-VA-4,202101,94,105,1,87.83,16.69,238,0.3229,0.0782
2021-VA-5,202101,94,107,1,93.36,18.15,288,0.3763,0.132
2021-VA-6,202101,94,104,1,83.35,15.93,196,0.3024,0.0845
2021-VA-7,202101,94,105,1,91.8,17.38,280,0.3198,0.0854
2021-VA-8,202101,94,105,1,84.61,16.26,224,0.3391,0.0977
2021-VA-9,202101,94,128,1,85.79,15.29,226,0.3394,0.1021
2021-VA-10,202101,94,104,1,78.88,15.53,188,0.3471,0.0632
2021-VA-11,202101,94,106,1,91.8,18,294,0.3709,0.0954
2021-VA-12,202101,94,106,1,91.84,17.74,294,0.3177,0.0874
2021-VA-13,202101,94,103,1,73.35,13.76,146,0.3216,0.0918
2021-VA-14,202101,94,107,1,92.74,16.5,266,0.6096,0.1727
2021-VA-15,202101,94,105,1,87.73,17.03,246,0.3468,0.0938
2021-VA-16,202101,94,106,1,95.31,17.71,304,0.3256,0.0758
2021-VA-17,202101,94,128,1,88.47,14.77,240,0.3352,0.1103
2021-VA-18,202101,94,107,1,94.32,18.32,270,0.2981,0.0965
2021-VA-19,202101,94,128,1,88.85,17.43,258,0.3126,0.1076
2021-VA-20,202101,94,103,1,72.15,12.9,134,0.3177,0.0928
